elevation,dist_to_water,dist_to_clyde,building_count,road_count,mean_annual_mm_day,mean_winter_mm_day,wet_days_per_year,max_daily_mm,flood_risk,easting,northing
13,725.6790647845831,1154.5074842867484,26,78,2.8455,3.3141,163.7,37.886,2,256283,664106
10,632.3785037243417,1062.8541900224986,19,79,2.8455,3.3141,163.7,37.886,2,256283,664206
14,539.2083548233605,970.292915794266,20,61,2.8455,3.3141,163.7,37.886,2,256283,664306
11,448.986333700696,876.3997228727037,32,54,2.8455,3.3141,163.7,37.886,2,256283,664406
14,363.91181045504766,783.1145118683067,43,55,2.8455,3.3141,163.7,37.886,2,256283,664506
13,288.5738791494273,689.9517770745674,49,67,2.8455,3.3141,163.7,37.886,2,256283,664606
10,231.62239062972083,596.8112950413654,44,64,2.8455,3.3141,163.7,37.886,2,256283,664706
8,208.47466551281903,504.9981016555006,34,77,2.8455,3.3141,163.7,37.886,2,256283,664806
6,229.91486244251695,413.59624703930126,31,78,2.8455,3.3141,163.7,37.886,0,256283,664906
11,285.9080788605912,322.1939208087882,17,88,2.9601,3.4095,166.3,39.458,0,256283,665006
2,227.05889631716693,227.05889631716693,11,69,2.9601,3.4095,166.3,39.458,0,256283,665106
5,127.5224712861043,127.5224712861043,8,43,2.9601,3.4095,166.3,39.458,0,256283,665206
1,27.986046255041693,27.986046255041693,8,30,2.9601,3.4095,166.3,39.458,2,256283,665306
8,0.0,0.0,9,28,2.9601,3.4095,166.3,39.458,0,256283,665406
-2,0.0,0.0,7,41,2.9601,3.4095,166.3,39.458,0,256283,665506
2,0.0,0.0,14,55,2.9601,3.4095,166.3,39.458,2,256283,665606
5,27.274511157250963,27.274511157250963,20,54,2.9601,3.4095,166.3,39.458,2,256283,665706
9,115.31820293529178,115.31820293529178,34,76,2.9601,3.4095,166.3,39.458,2,256283,665806
9,203.3618947133326,203.3618947133326,41,74,2.9601,3.4095,166.3,39.458,2,256283,665906
27,278.2636424854314,291.40558649137347,73,75,2.9601,3.4095,166.3,39.458,1,256283,666006
39,178.80499392975727,379.4492782694142,68,75,2.9601,3.4095,166.3,39.458,0,256283,666106
31,80.42563784271638,467.49297004745506,63,55,2.9601,3.4095,166.3,39.458,1,256283,666206
10,0.0,555.5367502599997,50,75,2.9601,3.4095,166.3,39.458,2,256283,666306
10,69.64064168494062,643.5809056701761,86,113,2.9601,3.4095,166.3,39.458,2,256283,666406
16,159.7944418834299,730.0928222125405,141,141,2.9601,3.4095,166.3,39.458,1,256283,666506
18,247.56987993891184,818.7823674991038,173,153,2.9601,3.4095,166.3,39.458,1,256283,666606
20,339.4032332920081,909.485786122232,208,122,2.9601,3.4095,166.3,39.458,1,256283,666706
28,208.28133208088704,2027.752750295788,100,6,2.8455,3.3141,163.7,37.886,1,256383,663106
31,279.2785303147161,1935.8257722257035,102,1,2.8455,3.3141,163.7,37.886,1,256383,663206
33,358.8260824640479,1844.2688599349055,99,4,2.8455,3.3141,163.7,37.886,1,256383,663306
39,445.1441992684946,1752.7906823728902,91,9,2.8455,3.3141,163.7,37.886,0,256383,663406
39,536.1118641932727,1661.3108599719371,97,12,2.8455,3.3141,163.7,37.886,0,256383,663506
40,629.7271313599935,1569.8310375709846,110,18,2.8455,3.3141,163.7,37.886,0,256383,663606
34,725.0493700521274,1478.3512151700315,124,20,2.8455,3.3141,163.7,37.886,1,256383,663706
20,821.4698972719224,1386.931553096549,125,34,2.8455,3.3141,163.7,37.886,1,256383,663806
16,873.3085112528836,1295.722030801428,105,50,2.8455,3.3141,163.7,37.886,1,256383,663906
15,783.4107167668956,1204.5125085063069,70,72,2.8455,3.3141,163.7,37.886,2,256383,664006
12,687.8862191414712,1113.3029862111855,32,72,2.8455,3.3141,163.7,37.886,2,256383,664106
11,593.8371408258961,1022.0934639160646,16,58,2.8455,3.3141,163.7,37.886,2,256383,664206
12,502.09326739541353,931.1390872757996,20,59,2.8455,3.3141,163.7,37.886,2,256383,664306
13,411.325992549058,839.575972815104,28,51,2.8455,3.3141,163.7,37.886,2,256383,664406
12,316.2785956797353,747.841153628359,37,48,2.8455,3.3141,163.7,37.886,2,256383,664506
11,225.55537684529537,654.0953579383153,44,55,2.8455,3.3141,163.7,37.886,2,256383,664606
10,147.37132001343053,560.4667039809794,39,58,2.8455,3.3141,163.7,37.886,2,256383,664706
9,108.4766034974696,467.28480441207296,29,73,2.8455,3.3141,163.7,37.886,2,256383,664806
9,144.68498159674112,374.1220696183335,18,95,2.8455,3.3141,163.7,37.886,0,256383,664906
0,223.1957201324476,281.62692737876233,11,107,2.9601,3.4095,166.3,39.458,0,256383,665006
2,190.2254170451274,190.2254170451274,8,88,2.9601,3.4095,166.3,39.458,0,256383,665106
-2,98.82309081461428,98.82309081461428,6,51,2.9601,3.4095,166.3,39.458,0,256383,665206
0,7.711917884672746,7.711917884672746,6,36,2.9601,3.4095,166.3,39.458,0,256383,665306
-2,0.0,0.0,8,44,2.9601,3.4095,166.3,39.458,0,256383,665406
1,18.70371688390127,18.70371688390127,10,66,2.9601,3.4095,166.3,39.458,2,256383,665506
5,34.26511993202627,34.26511993202627,14,67,2.9601,3.4095,166.3,39.458,2,256383,665606
7,78.17083431228862,78.17083431228862,32,79,2.9601,3.4095,166.3,39.458,2,256383,665706
10,162.37433060088057,162.37433060088057,49,98,2.9601,3.4095,166.3,39.458,2,256383,665806
20,250.7782245807248,250.7782245807248,83,95,2.9601,3.4095,166.3,39.458,1,256383,665906
30,300.91969714967684,338.8219163587656,105,88,2.9601,3.4095,166.3,39.458,1,256383,666006
34,206.4488185504873,426.8656081368064,102,69,2.9601,3.4095,166.3,39.458,1,256383,666106
30,113.88739243652309,514.9092999148472,97,47,2.9601,3.4095,166.3,39.458,1,256383,666206
10,33.962782008298916,602.9529916928881,85,84,2.9601,3.4095,166.3,39.458,2,256383,666306
12,24.589832192047172,690.9966834709289,57,142,2.9601,3.4095,166.3,39.458,2,256383,666406
23,117.29833424356724,779.0405300552419,98,166,2.9601,3.4095,166.3,39.458,1,256383,666506
24,207.68088350984215,866.9038791535886,146,165,2.9601,3.4095,166.3,39.458,1,256383,666606
27,297.98972607980653,953.5469740520856,182,145,2.9601,3.4095,166.3,39.458,1,256383,666706
23,385.94177338052026,1042.3877618380548,190,140,2.9601,3.4095,166.3,39.458,1,256383,666806
