elevation,dist_to_water,dist_to_clyde,building_count,road_count,mean_annual_mm_day,mean_winter_mm_day,wet_days_per_year,max_daily_mm,flood_risk,easting,northing
1,0.0,0.0,2,13,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,0,256083.0,665606.0
6,0.0,0.0,6,16,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,0,256083.0,665706.0
10,20.48554320050744,20.48554320050744,6,36,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256083.0,665806.0
5,108.52923497854826,108.52923497854826,9,64,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256083.0,665906.0
29,719.3780953187348,1651.3462815413893,101,40,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,1,256183.0,663606.0
24,804.3696005405598,1560.1367592462684,83,43,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,1,256183.0,663706.0
18,892.3491673120435,1468.9670922233895,82,46,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,1,256183.0,663806.0
18,948.5636477644128,1377.8672264166382,67,63,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,1,256183.0,663906.0
17,854.7608272486561,1286.1324072298933,42,71,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,1,256183.0,664006.0
16,762.5346875634476,1192.3523302344142,29,72,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,1,256183.0,664106.0
16,672.534183277075,1098.9442194548133,29,84,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,1,256183.0,664206.0
12,585.7860578870414,1005.7814845308013,24,69,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256183.0,664306.0
13,503.972601986971,912.6187497370619,37,58,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256183.0,664406.0
15,429.9202966739249,819.856837793942,44,61,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256183.0,664506.0
13,368.1449309384916,728.3692759322389,54,58,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256183.0,664606.0
9,324.56654863889094,635.8429066335848,48,61,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256183.0,664706.0
10,308.4739840165072,537.2271605592261,41,69,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256183.0,664806.0
7,323.709660103423,439.2377968353948,42,75,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256183.0,664906.0
10,342.41299960003647,342.41299960003647,32,78,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256183.0,665006.0
7,248.11989525505112,248.11989525505112,21,67,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256183.0,665106.0
7,158.82252509271356,158.82252509271356,14,55,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256183.0,665206.0
3,70.42849438021621,70.42849438021621,12,45,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256183.0,665306.0
1,0.0,0.0,8,29,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256183.0,665406.0
-1,2.5428450463760868,2.5428450463760868,5,24,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,0,256183.0,665506.0
3,0.0,0.0,10,33,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,0,256183.0,665606.0
3,0.0,0.0,12,39,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256183.0,665706.0
6,67.90187306789961,67.90187306789961,10,49,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256183.0,665806.0
7,155.94556484594045,155.94556484594045,15,56,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256183.0,665906.0
19,243.98925662398128,243.98925662398128,18,64,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,1,256183.0,666006.0
27,188.92286156050776,332.03297046475745,18,62,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,1,256183.0,666106.0
27,102.03064814240169,420.07712587493376,30,53,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,1,256183.0,666206.0
9,16.922549666548864,506.7733481238489,76,96,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256183.0,666306.0
8,52.92593427182255,595.1780276733386,135,132,3.02210749954969,3.7230170070446857,172.71794871794873,32.27312659267654,2,256183.0,666406.0
39,420.42661857987554,1884.6616188150542,100,5,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,0,256283.0,663306.0
34,498.154334152387,1793.1817964141012,95,12,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,1,256283.0,663406.0
39,581.329179676821,1701.7019740131486,105,17,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,0,256283.0,663506.0
36,668.7452409344259,1610.3484396140902,112,24,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,0,256283.0,663606.0
30,759.2738500706848,1519.1389173189693,112,26,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,1,256283.0,663706.0
19,851.8661994695093,1427.9293950238482,110,34,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,1,256283.0,663806.0
17,909.7801417856806,1336.719872728727,93,63,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,1,256283.0,663906.0
17,816.7955715643297,1245.511387138334,58,73,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,1,256283.0,664006.0
13,725.6790647845831,1154.5074842867484,26,78,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256283.0,664106.0
10,632.3785037243417,1062.8541900224986,19,79,2.94466252016733,3.7152773605236256,166.71794871794873,33.30812711705017,2,256283.0,664206.0
